name,comments,pr,issues,handle_issue
liebeslied,1,1,1,0
fabide,0,0,1,0
zplinuxlover,0,0,1,0
swen128,0,1,1,0
huyfaeng,0,0,1,0
binury,0,1,1,0
yishaihl,0,0,1,0
JeffBolle,0,0,2,0
JLLeitschuh,0,1,1,0
mrnguuyen,0,0,1,0
tedder,0,1,1,0
robin13,4,14,46,0
yipixiaofeiyang,0,0,1,0
taku333,1,4,5,0
howtwizer,0,0,1,0
zqw226,0,1,2,0
dpkirchner,1,0,1,0
mdyuldina,0,1,2,0
laraMorenoIgle,0,0,2,0
Arfey,0,1,1,0
MaoliRUNsen,0,0,1,0
philkra,0,3,4,0
septimit,0,1,2,0
bdentino,0,1,1,0
missinglink,23,11,16,0
anjilinga,0,0,1,0
Hokwang,0,0,1,0
ckauf,0,0,1,0
JorritSalverda,0,0,1,0
sudo-su-tony,0,0,1,0
brooks-macbeth-shadowdragon,0,0,1,0
sunnut,0,0,2,0
mooncui,0,0,1,0
mattayes,0,2,2,0
davidb-e4s,0,0,1,0
NoCodeInMyHeart,0,0,1,0
huanqingdong,0,0,1,0
drake-jin,0,0,3,0
TomonoriSoejima,0,1,17,0
blueSky1825821,0,1,1,0
MetinArslanturk,1,1,1,0
jasonTuZq,0,0,1,0
amirhmd,1,1,1,0
jagansankara,0,0,2,0
cfangpp,0,0,1,0
erempel,0,0,1,0
sashman,0,1,1,0
zte-wangning,0,0,2,0
raVi1629,0,0,1,0
SElab2019,0,0,1,0
danielbrent,0,0,1,0
jeromepin,0,0,1,0
mbudge,0,0,4,0
joshjanoski,0,0,4,0
zdeseb,0,0,6,0
hoigau,0,0,5,0
TableofContents,0,0,1,0
yffmonday,0,0,1,0
ebadyano,2,4,10,2
gbeskales,0,0,1,0
gclsoft,0,0,1,0
riverbuilding,0,2,6,0
blkbltjns,0,0,1,0
lijiang1983,0,0,1,0
MrDienns,0,0,1,0
olegbonar,0,1,1,0
toby-jn,0,0,1,0
skiod,0,0,4,0
pphust,0,0,1,0
yjiu1990,0,0,1,0
a2393439531,0,0,1,0
AntonShuvaev,2,4,4,0
yutaka-nakano,0,1,2,0
nchudleigh,0,1,1,0
arkel-s,0,1,2,0
dmge-dmge,0,0,1,0
fpompermaier,0,2,6,0
atorok,867,329,469,76
agirbal,1,0,2,0
radoondas,1,1,6,0
markwolke,0,0,1,0
daixiang0,0,3,3,0
ankane,2,0,2,0
niyanchun,0,0,1,0
Hohol,4,11,12,0
jmwilkinson,4,0,2,0
netwons,0,0,1,0
lchqlchq,0,0,1,0
angelpunn,0,0,1,0
vishnuchilamakuru,0,4,5,0
jbudz,0,2,5,0
rwaight,0,2,8,0
njustyq,2,0,1,0
ao,0,3,3,0
darrenfoong,0,1,1,0
jakesyl,0,1,1,0
zhu1289303556,0,0,1,0
awick,30,2,23,0
usego,0,0,1,0
Kovah,0,2,2,0
kevinsingapore,0,0,2,0
ZhiHao1,0,0,2,0
kandelon,0,0,4,0
markov00,0,0,1,0
IceCreamYou,0,0,1,0
justviswa,0,0,1,0
codemanhappy-joker,0,0,1,0
nathandh22,0,2,2,0
wangxi19,0,0,1,0
jcrapuchettes,0,0,1,0
krsarmiento,0,0,1,0
lindstromhenrik,7,6,9,0
tahaderouiche,0,1,4,0
izeye,2,4,4,0
401825317,0,0,3,0
cachedout,9,8,13,1
prasad2kin,0,0,1,0
ruflin,34,7,15,0
peter-borgstedt,0,0,1,0
m9aertner,0,1,5,0
yida-lxw,0,0,1,0
deadbeef84,0,0,1,0
mitoma,0,0,2,0
zgui2000,0,0,1,0
arturcarvalho,0,1,1,0
aimyth,0,0,2,0
seeIT-52,0,0,1,0
plumchang,0,1,1,0
nathanrstacey,0,0,4,0
eoli3n,0,0,1,0
tomgilissen,0,1,1,0
biuabiu,0,0,1,0
mrkamel,13,1,5,0
GeetaLakhwani-1,0,0,1,0
eserkelleci,0,0,1,0
athlan,0,0,1,0
freesinger,0,0,3,0
afnanali1992,0,0,1,0
motherhubbard,0,0,6,0
NigelZHANG,0,0,1,0
andrewjohnson2,0,1,1,0
tsg,0,0,3,0
codebrain,6,7,20,0
danil-lavrentyev,0,0,1,0
ysunil702,0,0,1,0
loretoparisi,0,0,2,0
pandahii,0,0,1,0
altafparkar,0,0,1,0
devchampsarang,0,0,1,0
naseemkullah,0,0,1,0
Salil999,0,1,1,0
wyukawa,1,1,7,0
dimitrijezivkovic,0,0,1,0
alexklibisz,0,0,1,0
pigbrain,0,5,5,0
amitpl,0,0,1,0
Dezzpil,0,1,1,0
dnangelxueaoran,0,0,1,0
eswenson1,0,0,1,0
aakarshg,0,0,1,0
pebrc,0,0,2,0
tarp2699,0,0,1,0
chenyiping111,4,0,1,0
glerb,0,3,3,0
esquith,0,1,1,0
QxiaoQ,0,0,1,0
linebp,0,0,2,0
LucaWintergerst,0,1,6,0
etki,1,0,1,0
WilliamMars20,0,0,1,0
koren88i,0,0,1,0
kellycampbell,0,1,1,0
stacey-gammon,0,0,5,0
jsermer,0,0,1,0
maierru,0,0,1,0
onimisionipe,0,0,1,0
csandanov,0,0,2,0
cuff-links,0,0,1,0
amitavmohanty01,0,0,2,0
joshbressers,0,0,10,0
darrenmoen,0,0,1,0
meta-dipanshu-sharma,0,0,1,0
viyancs,0,0,1,0
jamshid,0,0,1,0
AlexP-Elastic,1,0,1,0
dosera,0,0,1,0
lilicheng666,0,0,1,0
bijanfahimi,0,0,2,0
AlexandreRoux,0,0,1,0
wenhoujx,0,0,1,0
askids,0,0,4,0
bcamper,0,0,1,0
sabi0,10,4,9,0
kymtwyf,1,1,1,0
1049229070,0,0,1,0
ejmiers,0,2,2,0
woodywalton,0,0,1,0
vlsi,0,0,1,0
stejacks,0,0,1,0
EmilBode,0,0,5,0
ndanl,0,0,1,0
andrershov,438,77,94,28
gpaimla,0,1,2,0
godlockin,0,0,6,0
lovelly,0,0,1,0
garywu520,0,0,1,0
rehannali,0,0,2,0
bytebilly,0,0,5,0
GreedyPirate,0,0,1,0
czhang223,0,0,1,0
akhileshbhatia,0,0,1,0
xsalan02,0,0,1,0
cs-niraj-nandane,0,0,1,0
tjwilson90,0,1,1,0
jordansissel,32,1,29,0
obogobo,0,0,1,0
antoinewg,0,2,2,0
sumitkothariqp,0,0,1,0
yzhymkov,0,0,1,0
lionsoul2014,0,0,2,0
happyjoblzp,0,0,1,0
rudziankou,0,0,1,0
jesinity,35,2,3,0
rotzbouw,0,0,3,0
farhan711,0,1,2,0
bleskes,7461,444,591,312
Stefanqn,0,0,1,0
UglyBarnacle,0,0,1,0
y-vectorfield,0,2,2,0
ddor254,0,0,1,0
vgupta1234,0,0,1,0
zyh1218,0,0,1,0
awelzel,0,1,2,0
mmkal,0,0,1,0
tejasvgupta,0,1,1,0
sanjun1995,0,0,1,0
Zyklop,0,0,1,0
altinp,0,0,1,0
kemics,0,0,1,0
orangejulius,0,1,3,0
cde0,0,0,1,0
DeeeFOX,0,0,1,0
turchanov,0,0,2,0
wanzi-520,0,0,1,0
konghui,0,0,1,0
hulkk,0,0,2,0
nikhil-machcha,0,0,1,0
DominicWatson,2,0,1,0
jamesdaily,0,0,1,0
VimCommando,0,0,1,0
