,name,cmt,add,del,fixes,files,comments,pr,issues,handle_issue
398,Martijn Laarman,45,2265,1418,17,825,,,,
399,Satoyuki Tsukano,2,986,74,0,18,,,,
400,cmpich,2,3,3,0,2,0.0,2.0,2.0,0.0
401,astefan,1,5,0,0,1,828.0,189.0,479.0,127.0
402,Oliver Eilhard,2,5,3,0,2,,,,
403,Alex Leonhardt,1,1,0,0,1,,,,
404,Aarni Koskela,1,4,0,0,1,,,,
405,printercu,1,3,0,0,1,4.0,1.0,3.0,0.0
406,Kevin Kluge,3,13,6,1,4,,,,
407,Veres Lajos,1,89,89,1,54,,,,
408,Chris Mattmann,2,55,55,1,4,,,,
409,jdyer09,1,1,1,0,1,,,,
410,Andreas Kohn,12,60,39,0,20,,,,
411,Joel Taddei,1,1,1,0,1,,,,
412,Philip McMahon,1,13,2,0,3,,,,
413,Vidar Kongsli,1,3,3,0,2,,,,
414,Nicholas Knize,160,37815,21885,35,1498,,,,
415,nwarz,1,40,3,1,2,1.0,1.0,1.0,0.0
416,Ken Wu,2,11,3,1,2,,,,
417,Ryan Doyle,1,3,0,0,1,,,,
418,jaymode,485,133087,109203,86,5554,1516.0,302.0,392.0,78.0
419,Philipp Bogensberger,2,49,67,0,4,,,,
420,Thomas Cucchietti,3,4,4,2,3,,,,
421,Damien Alexandre,5,22,19,1,5,,,,
422,ananich,1,9,0,0,1,1.0,1.0,1.0,0.0
423,Mariam Hakobyan,1,1,0,0,1,,,,
424,dw,2,6,6,0,2,6.0,3.0,4.0,0.0
425,Alban Perillat-Merceroz,1,1,1,0,1,,,,
426,barbasa,1,1,1,0,1,1.0,1.0,1.0,0.0
427,Laurent Broudoux,1,2,0,0,1,,,,
428,Sebastian Ziebell,4,55,31,0,9,,,,
429,unknown,1,2,0,0,1,,,,
430,David Haney,2,10,2,0,2,,,,
431,Matt Hughes,1,1,0,0,1,,,,
432,tristanbob,2,7,0,0,2,2.0,2.0,2.0,0.0
433,Cl¨¦ment Tourri¨¨re,3,126,8,0,7,,,,
434,pmamat,1,4,0,0,1,2.0,1.0,1.0,0.0
435,Patrick Koenig,2,45,32,0,5,,,,
436,Dan Tuffery,2,2,2,0,2,,,,
437,Thilo Fromm,3,114,18,2,11,,,,
438,Peter Johnson a.k.a. insertcoffee,4,19,16,1,4,,,,
439,Louis Sautier,1,15,1,0,1,,,,
440,Ashraf Sarhan,1,2,2,0,1,,,,
441,Adam Menges,1,8,8,0,1,,,,
442,Alexander Clausen,1,2,2,0,1,,,,
443,Peter Fabian Mitchell,1,72,1,0,3,,,,
444,Martijn Laarman,11,54,389,1,21,,,,
445,Satoshi Kimura,1,2,2,0,1,,,,
446,Simone Scarduzio,1,7,2,0,1,,,,
447,Ayush,1,1,1,0,1,,,,
448,spapin,1,1,1,1,1,1.0,1.0,3.0,0.0
449,Timothy Perisho,1,5,5,0,1,,,,
450,Pablo D¨ªaz-L¨®pez,1,1,1,0,1,,,,
451,Yasir Bamarni,1,1,1,0,1,,,,
452,Sebastian Utz,4,327,319,2,40,,,,
453,Guillaume Hiron,1,22,9,0,2,,,,
454,Tomas Varaneckas,1,2,2,0,1,,,,
455,Janmejay Singh,1,2,0,0,1,,,,
456,dtpeacock,1,1,1,0,1,0.0,1.0,1.0,0.0
457,Christoph B¨¹scher,31,4023,1648,5,186,,,,
458,Tomoya Hirano,1,2,2,0,1,,,,
459,eBuildy,4,8,8,1,4,,,,
460,Joe Hillenbrand,2,1,1,0,1,,,,
461,Dmitry Polushkin,1,3,0,0,1,,,,
462,sweetest,1,57,5,0,4,11.0,4.0,14.0,0.0
463,jhtimmins,1,1,1,0,1,0.0,1.0,2.0,0.0
464,Thomas Eschemann,1,5,0,0,1,,,,
465,Andrew Ochsner,1,4,0,0,1,,,,
466,Aske Hansen,1,3,0,0,1,,,,
467,Sourav Mitra,1,2,2,0,2,,,,
468,simaov,2,17,4,0,3,0.0,1.0,2.0,0.0
469,J Charitopoulos,2,2,3,0,2,,,,
470,Oliver,1,1,1,0,1,,,,
471,Glen Smith,17,111,31,3,17,,,,
472,Nicholas Canzoneri,2,7,7,1,2,,,,
473,Adam,2,1,2,0,2,,,,
474,Masaru Hasegawa,14,771,281,1,46,,,,
475,Kenta Okamoto,1,1,1,0,1,,,,
476,Alfredo Serafini,1,1,1,0,1,,,,
477,Victor Buldakov,1,5,1,0,2,,,,
478,Blake Niemyjski,1,1,1,0,1,,,,
479,Serhiy Suprun,1,1,1,0,1,,,,
480,Marcin Matlaszek,1,2,2,0,1,,,,
481,Jerry,1,1,1,0,1,,,,
482,orenash,1,22,22,0,1,5.0,1.0,2.0,0.0
483,Michael Sander,2,2,2,1,2,,,,
484,IsaacHaze,1,11,11,0,1,2.0,1.0,2.0,0.0
485,cgp,1,1,1,0,1,0.0,1.0,1.0,0.0
486,Geoff Bourne,1,11,0,0,1,,,,
487,Pius,3,5,2,0,3,,,,
